name,price
★ Stiletto Knife | Marble Fade (Factory New),400.37
★ Stiletto Knife | Marble Fade (Factory New),400.37
★ Stiletto Knife | Marble Fade (Factory New),400.37
★ Flip Knife | Doppler Phase 4 (Factory New),400.25
★ Paracord Knife | Night Stripe (Factory New),399.95
★ Driver Gloves | Racing Green (Factory New),392.02
★ Flip Knife | Doppler Phase 4 (Factory New),388.59
★ Huntsman Knife | Lore (Minimal Wear),387.72
Desert Eagle | Fennec Fox (Factory New),386.18
★ StatTrak™ Flip Knife | Doppler Phase 3 (Factory New),385.51
★ Talon Knife | Crimson Web (Field-Tested),384.8
Sticker | Titan (Foil) | Katowice 2015,378.6
★ M9 Bayonet | Case Hardened (Well-Worn),376.52
★ StatTrak™ Flip Knife | Doppler Phase 1 (Factory New),375.73
★ Bayonet | Slaughter (Field-Tested),374.16
★ Specialist Gloves | Crimson Web (Field-Tested),371.89
★ StatTrak™ M9 Bayonet | Damascus Steel (Field-Tested),363.97
★ Flip Knife | Doppler Phase 3 (Factory New),362.74
★ Skeleton Knife | Stained (Well-Worn),362.38
★ Specialist Gloves | Lt. Commander (Field-Tested),362.17
★ Specialist Gloves | Crimson Web (Field-Tested),361.06
M4A1-S | Icarus Fell (Minimal Wear),356.75
★ M9 Bayonet | Freehand (Field-Tested),355.17
★ M9 Bayonet | Freehand (Field-Tested),355.17
★ StatTrak™ Stiletto Knife | Tiger Tooth (Factory New),353.99
★ Stiletto Knife | Tiger Tooth (Factory New),351.39
★ Flip Knife | Doppler Phase 3 (Factory New),350
★ Bowie Knife | Gamma Doppler Phase 2 (Factory New),349.24
★ M9 Bayonet | Freehand (Field-Tested),344.83
★ Sport Gloves | Slingshot (Battle-Scarred),344.69
★ StatTrak™ Huntsman Knife | Marble Fade (Factory New),343.18
★ Bayonet | Black Laminate (Minimal Wear),342.71
AK-47 | Nightwish (Factory New),339.34
★ StatTrak™ Paracord Knife | Case Hardened (Minimal Wear),336.82
★ Bowie Knife | Doppler Phase 4 (Factory New),335.96
★ Paracord Knife | Slaughter (Minimal Wear),334.94
★ Driver Gloves | Imperial Plaid (Well-Worn),331.16
★ Huntsman Knife | Fade (Factory New),330.73
M4A1-S | Printstream (Factory New),330.25
M4A1-S | Printstream (Factory New),330.25
★ StatTrak™ Talon Knife | Boreal Forest (Minimal Wear),328.61
★ Talon Knife | Damascus Steel (Well-Worn),327.74
★ StatTrak™ Bowie Knife | Case Hardened (Minimal Wear),322.31
★ Ursus Knife | Tiger Tooth (Factory New),322.15
★ Driver Gloves | Imperial Plaid (Well-Worn),321.51
M4A1-S | Printstream (Factory New),320.63
M4A1-S | Printstream (Factory New),320.63
★ Flip Knife | Lore (Field-Tested),320.17
★ Ursus Knife | Tiger Tooth (Factory New),320.07
MP5-SD | Oxide Oasis (Factory New),318.84
