name,price,app_id
★ Ursus Knife | Doppler Phase 4 (Factory New),423.14,730
★ Gut Knife | Doppler Black Pearl (Factory New),418.82,730
★ Sport Gloves | Scarlet Shamagh (Field-Tested),418.23,730
★ Karambit | Bright Water (Field-Tested),414.48,730
M4A1-S | Icarus Fell (Factory New),413.88,730
★ M9 Bayonet | Crimson Web (Battle-Scarred),412.25,730
★ Nomad Knife,410.86,730
★ Hydra Gloves | Mangrove (Factory New),408.31,730
★ Stiletto Knife | Marble Fade (Factory New),405.02,730
★ Stiletto Knife | Marble Fade (Factory New),405.02,730
★ Flip Knife | Doppler Phase 4 (Factory New),402.52,730
★ StatTrak™ Flip Knife | Doppler Phase 3 (Factory New),396.17,730
★ Huntsman Knife | Lore (Minimal Wear),393.15,730
★ Paracord Knife | Night Stripe (Factory New),391.7,730
★ Flip Knife | Doppler Phase 4 (Factory New),390.8,730
★ Paracord Knife | Slaughter (Factory New),389.64,730
Desert Eagle | Fennec Fox (Factory New),386.18,730
★ Driver Gloves | Racing Green (Factory New),384.66,730
★ Talon Knife | Crimson Web (Field-Tested),383.8,730
★ StatTrak™ Flip Knife | Doppler Phase 1 (Factory New),381.08,730
★ M9 Bayonet | Case Hardened (Well-Worn),377.99,730
★ Specialist Gloves | Crimson Web (Field-Tested),371.59,730
★ Specialist Gloves | Lt. Commander (Field-Tested),366.69,730
★ Bayonet | Slaughter (Field-Tested),366.27,730
StatTrak™ P2000 | Ocean Foam (Factory New),363.83,730
★ StatTrak™ Paracord Knife | Case Hardened (Minimal Wear),359.93,730
★ Skeleton Knife | Stained (Well-Worn),359.42,730
★ Flip Knife | Doppler Phase 3 (Factory New),358.27,730
★ StatTrak™ M9 Bayonet | Damascus Steel (Field-Tested),357.68,730
★ Flip Knife | Doppler Phase 3 (Factory New),356.07,730
★ Bowie Knife | Gamma Doppler Phase 2 (Factory New),354.06,730
★ M9 Bayonet | Freehand (Field-Tested),353.72,730
★ M9 Bayonet | Freehand (Field-Tested),353.72,730
★ StatTrak™ Stiletto Knife | Tiger Tooth (Factory New),352.61,730
★ Stiletto Knife | Tiger Tooth (Factory New),351.8,730
★ M9 Bayonet | Blue Steel (Well-Worn),350.73,730
M4A1-S | Icarus Fell (Minimal Wear),348.75,730
★ Sport Gloves | Slingshot (Battle-Scarred),344.69,730
AK-47 | Nightwish (Factory New),343.43,730
★ M9 Bayonet | Freehand (Field-Tested),343.42,730
★ StatTrak™ Huntsman Knife | Marble Fade (Factory New),342.85,730
★ Bayonet | Black Laminate (Minimal Wear),339.01,730
★ Bowie Knife | Doppler Phase 4 (Factory New),335.94,730
M4A1-S | Printstream (Factory New),334.29,730
M4A1-S | Printstream (Factory New),334.29,730
★ StatTrak™ Talon Knife | Boreal Forest (Minimal Wear),332.57,730
★ Classic Knife,331.61,730
★ Huntsman Knife | Fade (Factory New),330.73,730
★ Driver Gloves | Imperial Plaid (Well-Worn),327.9,730
★ Paracord Knife | Slaughter (Minimal Wear),324.61,730
M4A1-S | Printstream (Factory New),324.55,730
M4A1-S | Printstream (Factory New),324.55,730
★ Ursus Knife | Tiger Tooth (Factory New),324.16,730
★ StatTrak™ Bowie Knife | Case Hardened (Minimal Wear),322.42,730
★ Huntsman Knife | Gamma Doppler Phase 1 (Factory New),320.53,730
★ Driver Gloves | Imperial Plaid (Well-Worn),318.35,730
★ Flip Knife | Lore (Field-Tested),317.68,730
★ Bowie Knife | Lore (Minimal Wear),316.27,730
Creepy Clown Bandana,315.6,252490
★ StatTrak™ Classic Knife | Slaughter (Minimal Wear),315.08,730
MP5-SD | Oxide Oasis (Factory New),314.07,730
MP5-SD | Oxide Oasis (Factory New),314.07,730
★ Talon Knife | Damascus Steel (Field-Tested),314.07,730
★ Ursus Knife | Tiger Tooth (Factory New),312.69,730
★ Ursus Knife | Tiger Tooth (Factory New),312.69,730
★ Driver Gloves | King Snake (Battle-Scarred),310.56,730
★ Driver Gloves | King Snake (Battle-Scarred),310.56,730
★ Talon Knife | Damascus Steel (Well-Worn),310,730
★ Huntsman Knife | Marble Fade (Factory New),308.96,730
★ StatTrak™ Ursus Knife | Tiger Tooth (Factory New),307.47,730
★ Falchion Knife | Doppler Phase 4 (Factory New),305.52,730
★ Falchion Knife | Doppler Phase 2 (Factory New),304.74,730
★ Bayonet | Case Hardened (Well-Worn),304.1,730
★ M9 Bayonet | Night (Field-Tested),303.34,730
★ M9 Bayonet | Night (Field-Tested),303.34,730
★ Bayonet | Black Laminate (Well-Worn),302.69,730
AK-47 | Vulcan (Minimal Wear),302.25,730
MP5-SD | Oxide Oasis (Minimal Wear),301.08,730
★ Bowie Knife | Marble Fade (Factory New),300.12,730
M4A1-S | Blue Phosphor (Factory New),298.99,730
M4A1-S | Blue Phosphor (Factory New),298.99,730
★ Survival Knife | Slaughter (Minimal Wear),298.15,730
★ Paracord Knife | Crimson Web (Field-Tested),295.7,730
★ Falchion Knife | Doppler Phase 3 (Factory New),294.73,730
★ M9 Bayonet | Ultraviolet (Field-Tested),294.58,730
AK-47 | Panthera onca (Minimal Wear),294.02,730
★ Bayonet | Black Laminate (Field-Tested),293.91,730
★ Falchion Knife | Doppler Phase 3 (Factory New),293.86,730
★ M9 Bayonet | Stained (Well-Worn),292.17,730
★ Bowie Knife | Marble Fade (Factory New),291.38,730
★ Talon Knife | Rust Coat (Battle-Scarred),291.16,730
★ Talon Knife | Rust Coat (Battle-Scarred),291.16,730
★ Talon Knife | Rust Coat (Battle-Scarred),291.16,730
★ Talon Knife | Rust Coat (Battle-Scarred),291.16,730
★ Moto Gloves | Polygon (Field-Tested),290.82,730
★ Bowie Knife | Doppler Phase 3 (Factory New),290.61,730
★ StatTrak™ Falchion Knife | Marble Fade (Factory New),288.57,730
★ Karambit | Forest DDPAT (Well-Worn),287.13,730
★ Paracord Knife | Crimson Web (Field-Tested),287.09,730
★ Bayonet | Case Hardened (Battle-Scarred),286.73,730
★ Hand Wraps | Slaughter (Field-Tested),286.21,730
★ Hand Wraps | Slaughter (Field-Tested),286.21,730
★ Hand Wraps | Slaughter (Field-Tested),286.21,730
★ Falchion Knife | Doppler Phase 1 (Factory New),286,730
★ Bowie Knife | Doppler Phase 3 (Factory New),283.65,730
★ Bowie Knife | Marble Fade (Minimal Wear),282.71,730
★ Talon Knife | Stained (Well-Worn),282.69,730
UMP-45 | Fade (Factory New),282.1,730
★ Falchion Knife | Doppler (Minimal Wear),280.15,730
★ Huntsman Knife | Doppler Phase 3 (Factory New),279.26,730
StatTrak™ AK-47 | The Empress (Factory New),278.85,730
★ Talon Knife | Ultraviolet (Field-Tested),278.77,730
★ Talon Knife | Ultraviolet (Field-Tested),278.77,730
★ Falchion Knife | Fade (Factory New),278.7,730
★ StatTrak™ Gut Knife | Gamma Doppler Phase 1 (Factory New),277.92,730
★ Ursus Knife | Crimson Web (Field-Tested),274.75,730
★ Specialist Gloves | Emerald Web (Battle-Scarred),273.49,730
★ Hand Wraps | Overprint (Well-Worn),273.19,730
Golden Grasping Bludgeon,273.05,570
★ StatTrak™ Gut Knife | Gamma Doppler Phase 1 (Factory New),268.7,730
★ StatTrak™ M9 Bayonet | Safari Mesh (Field-Tested),268.29,730
AWP | Oni Taiji (Field-Tested),263.69,730
★ Falchion Knife | Fade (Factory New),261.67,730
★ Classic Knife | Case Hardened (Minimal Wear),261.48,730
★ StatTrak™ Shadow Daggers | Doppler Phase 2 (Factory New),261.27,730
★ Stiletto Knife,261.13,730
★ M9 Bayonet | Boreal Forest (Field-Tested),260.29,730
StatTrak™ MP9 | Starlight Protector (Factory New),259.76,730
★ StatTrak™ Navaja Knife | Doppler Phase 2 (Factory New),257.5,730
★ StatTrak™ Shadow Daggers | Doppler Phase 1 (Factory New),256.8,730
★ Sport Gloves | Scarlet Shamagh (Battle-Scarred),256.41,730
AWP | Oni Taiji (Field-Tested),256.01,730
AWP | Oni Taiji (Field-Tested),256.01,730
AWP | Oni Taiji (Field-Tested),256.01,730
★ M9 Bayonet | Urban Masked (Field-Tested),255.58,730
★ Gut Knife | Autotronic (Factory New),254.7,730
★ Stiletto Knife | Crimson Web (Field-Tested),252.96,730
AK-47 | Case Hardened (Factory New),252.51,730
AK-47 | Case Hardened (Factory New),252.51,730
AK-47 | Case Hardened (Factory New),252.51,730
Desert Eagle | Fennec Fox (Field-Tested),250.02,730
★ Driver Gloves | Imperial Plaid (Battle-Scarred),249.76,730
★ Stiletto Knife | Case Hardened (Field-Tested),248.79,730
StatTrak™ AWP | Asiimov (Field-Tested),248.61,730
★ M9 Bayonet | Urban Masked (Field-Tested),248.14,730
★ Paracord Knife,246.48,730
★ Huntsman Knife | Tiger Tooth (Factory New),245.55,730
★ Huntsman Knife | Tiger Tooth (Factory New),245.55,730
★ Huntsman Knife | Tiger Tooth (Factory New),245.55,730
★ Huntsman Knife | Tiger Tooth (Factory New),245.55,730
★ Bayonet | Bright Water (Field-Tested),243.73,730
★ M9 Bayonet | Scorched (Field-Tested),236.85,730
★ Bowie Knife | Tiger Tooth (Factory New),231.22,730
Genuine Silent Wake of the Crimson Witness,229.73,570
★ Moto Gloves | Blood Pressure (Well-Worn),227.39,730
SSG 08 | Death Strike (Minimal Wear),226.79,730
★ Bowie Knife | Tiger Tooth (Factory New),224.49,730
StatTrak™ SSG 08 | Bloodshot (Minimal Wear),223.4,730
★ Moto Gloves | 3rd Commando Company (Minimal Wear),222.44,730
★ Talon Knife | Forest DDPAT (Field-Tested),221.82,730
★ Falchion Knife | Crimson Web (Minimal Wear),220.94,730
★ Stiletto Knife | Crimson Web (Well-Worn),219.96,730
★ Huntsman Knife | Slaughter (Field-Tested),219.27,730
★ Driver Gloves | Crimson Weave (Battle-Scarred),217.99,730
★ Sport Gloves | Bronze Morph (Field-Tested),214.85,730
★ Sport Gloves | Bronze Morph (Field-Tested),214.85,730
★ Sport Gloves | Bronze Morph (Field-Tested),214.85,730
★ Sport Gloves | Bronze Morph (Field-Tested),214.85,730
★ Talon Knife | Scorched (Field-Tested),214.85,730
★ Talon Knife | Scorched (Field-Tested),214.85,730
★ Talon Knife | Scorched (Field-Tested),214.85,730
★ Stiletto Knife | Ultraviolet (Minimal Wear),212.57,730
★ Talon Knife | Urban Masked (Battle-Scarred),212.5,730
★ Talon Knife | Safari Mesh (Field-Tested),211.19,730
★ StatTrak™ Huntsman Knife,209.86,730
StatTrak™ M4A1-S | Printstream (Field-Tested),208.94,730
★ Sport Gloves | Bronze Morph (Field-Tested),208.59,730
★ Hand Wraps | Slaughter (Battle-Scarred),207.85,730
StatTrak™ AK-47 | Bloodsport (Factory New),206.56,730
★ Shadow Daggers | Gamma Doppler Phase 1 (Factory New),204.12,730
Strange Professional Killstreak Australium Rocket Launcher,203.87,440
StatTrak™ M4A1-S | Printstream (Field-Tested),202.85,730
